City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
548,orbetello,42.4408,11.2196,1.01,77,90,2.24,IT,1675220193
549,berlevag,70.8578,29.0864,0.97,75,100,12.35,NO,1675220193
550,navoi,40.0844,65.3792,9.71,50,100,9.26,UZ,1675220193
551,kakching,24.4833,93.9833,13.88,36,73,1.27,IN,1675220194
552,ponta do sol,32.6667,-17.1,15.4,58,65,2.67,PT,1675220194
553,devin,41.7433,24.4,-8.64,98,66,1.03,BG,1675220194
554,coromandel,-18.4733,-47.2003,18.2,89,46,1.28,BR,1675220195
555,makokou,0.5738,12.8642,21.34,85,45,1.02,GA,1675220195
556,moerai,-22.4333,-151.3333,26.2,76,100,4.17,PF,1675220195
557,holme,56.1138,10.1725,3.76,88,100,10.26,DK,1675220196
558,riviera beach,26.7753,-80.0581,25.01,83,0,2.57,US,1675219927
559,shangrao,28.4532,117.9686,13.78,59,100,0.87,CN,1675220196
560,kralendijk,12.15,-68.2667,24.99,83,20,2.57,BQ,1675219928
561,rio gallegos,-51.6226,-69.2181,13.63,55,100,1.85,AR,1675220140
562,lesosibirsk,58.2358,92.4828,-15.09,98,100,1.03,RU,1675220197
563,yugorsk,61.3133,63.3319,-8.93,95,96,3.34,RU,1675220197
564,hervey bay,-25.2986,152.8535,27.07,83,80,7.43,AU,1675220143
565,tuxpan,19.55,-103.4,14.07,87,3,1.25,MX,1675220198
566,chojnice,53.6955,17.557,1.66,88,100,8.89,PL,1675220198
567,winnemucca,40.973,-117.7357,-3.33,62,100,1.65,US,1675220199
568,ryotsu,38.0833,138.4333,6.89,84,100,12.48,JP,1675220199
569,nome,64.5011,-165.4064,-4.96,93,100,0.0,US,1675220199
570,karymskoye,51.6167,114.35,-16.5,75,5,2.08,RU,1675220200
